WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Repeated_name,Repeated_code,WordInput
956,920.7785781616261,8,7,1.9394999742507935,11,True,1.0,flan,unrepeated,-0.5,flan
642,787.300988133978,7,3,4.173099994659424,11,True,1.0,door,unrepeated,-0.5,door
758,852.1315156021079,10,13,1.3802000284194946,7,True,1.0,sill,unrepeated,-0.5,sill
981,907.1712361937616,9,7,4.396299839019775,11,True,1.0,show,unrepeated,-0.5,show
1216,826.5401361985048,9,5,4.257199764251709,8,True,1.0,play,unrepeated,-0.5,play
673,870.7334170382953,8,4,2.4914000034332275,11,True,1.0,bats,unrepeated,-0.5,bats
832,734.627044259992,11,13,2.6149001121520996,8,True,1.0,mole,unrepeated,-0.5,mole
19,672.9105082935203,5,1,4.02239990234375,3,True,1.0,also,unrepeated,-0.5,also
1564,741.0856493839399,7,3,2.7987000942230225,4,True,1.0,thus,unrepeated,-0.5,thus
729,910.8296649374073,11,12,3.4602999687194824,9,True,1.0,lock,unrepeated,-0.5,lock
1176,891.9855309298815,7,8,3.863600015640259,14,True,1.0,safe,unrepeated,-0.5,safe
9,811.0459376944589,6,1,0.8450999855995178,9,True,1.0,clef,unrepeated,-0.5,clef
728,870.6237317905222,9,11,3.756500005722046,10,True,1.0,mike,unrepeated,-0.5,mike
735,760.1142859253134,7,3,2.3784000873565674,9,True,1.0,lens,unrepeated,-0.5,lens
1258,667.413989706052,5,4,2.2600998878479004,5,True,1.0,zoom,unrepeated,-0.5,zoom
1088,854.591377205505,8,5,4.557199954986572,9,True,1.0,stop,unrepeated,-0.5,stop
1184,865.3311820640314,9,5,2.7604000568389893,6,True,1.0,halt,unrepeated,-0.5,halt
740,875.4762831137887,7,4,2.0827999114990234,13,True,1.0,meth,unrepeated,-0.5,meth
1286,881.2233338696608,10,14,2.914299964904785,6,True,1.0,dope,unrepeated,-0.5,dope
1236,684.1831841129638,8,4,2.7339999675750732,9,True,1.0,fund,unrepeated,-0.5,fund
