WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Relatedness_name,Relatedness_code,WordInput
634,905.0846850561227,11,10,2.456399917602539,6,True,1.0,poop,SemUnrelated,-0.5,poop
976,858.6085107481442,7,3,2.1522998809814453,8,True,1.0,turd,SemUnrelated,-0.5,turd
605,925.1196822235382,10,12,2.8864998817443848,7,True,1.0,rice,SemUnrelated,-0.5,rice
804,879.6150201392906,7,3,1.8324999809265137,9,True,1.0,bran,SemUnrelated,-0.5,bran
656,810.5408812806506,6,2,3.935800075531006,10,True,1.0,city,SemUnrelated,-0.5,city
730,862.8019657952516,7,3,4.101900100708008,11,True,1.0,town,SemUnrelated,-0.5,town
624,921.0796181179212,11,11,2.2788000106811523,11,True,1.0,lace,SemUnrelated,-0.5,lace
1275,918.4987822648764,9,7,3.7862000465393066,8,True,1.0,felt,SemUnrelated,-0.5,felt
670,929.3877038077726,9,6,3.083899974822998,15,True,1.0,deck,SemUnrelated,-0.5,deck
775,838.7366588261397,7,4,3.7820000648498535,7,True,1.0,step,SemUnrelated,-0.5,step
629,860.8886371104745,8,4,3.437299966812134,8,True,1.0,bomb,SemUnrelated,-0.5,bomb
977,858.0959250383996,6,3,2.086400032043457,12,True,1.0,nuke,SemUnrelated,-0.5,nuke
731,825.3110820378146,6,3,3.338900089263916,10,True,1.0,jury,SemUnrelated,-0.5,jury
1025,933.3418864434379,10,14,2.9474000930786133,10,True,1.0,bail,SemUnrelated,-0.5,bail
636,840.8693284433084,7,2,1.3617000579833984,6,True,1.0,gnat,SemUnrelated,-0.5,gnat
714,900.7099242683777,8,4,2.06820011138916,12,True,1.0,moth,SemUnrelated,-0.5,moth
646,938.6526981477136,11,17,3.3615000247955322,8,True,1.0,cake,SemUnrelated,-0.5,cake
956,921.9878060229582,8,7,1.9394999742507935,11,True,1.0,flan,SemUnrelated,-0.5,flan
642,902.9444754874539,7,3,4.173099994659424,11,True,1.0,door,SemUnrelated,-0.5,door
758,926.0245176401473,10,13,1.3802000284194946,7,True,1.0,sill,SemUnrelated,-0.5,sill
981,918.4561124282648,9,7,4.396299839019775,11,True,1.0,show,SemUnrelated,-0.5,show
1216,891.1249741644039,9,5,4.257199764251709,8,True,1.0,play,SemUnrelated,-0.5,play
673,899.6119539055496,8,4,2.4914000034332275,11,True,1.0,bats,SemUnrelated,-0.5,bats
832,921.7393768639715,11,13,2.6149001121520996,8,True,1.0,mole,SemUnrelated,-0.5,mole
19,687.1029135666653,5,1,4.02239990234375,3,True,1.0,also,SemUnrelated,-0.5,also
1564,767.9405404177471,7,3,2.7987000942230225,4,True,1.0,thus,SemUnrelated,-0.5,thus
729,932.5103438634454,11,12,3.4602999687194824,9,True,1.0,lock,SemUnrelated,-0.5,lock
